Stock Symbol,Float Shares,Current Price,3M Avg Volume
AACT,7500000,11.435,1030369.7142857143
ACDC,18141809,8.83,851327.5079365079
ACON,582330,6.8361,101149.71428571429
ABTS,2038248,4.38,154576.60317460317
ACR,7052507,18.43,40201.555555555555
ACNT,6446844,13.1655,74077.04761904762
ADVM,12273097,2.76,328013.3015873016
ADN,2533078,2.88,28698.88888888889
AEAEU,516209,10.82,15.951612903225806
AEAE,516209,11.6199,91.93548387096774
AEHL,837799,2.27,1020722.0158730159
AENT,11705927,3.5299,42917.793650793654
AFBI,4475075,18.2,13866.84126984127
AEYE,8622022,12.625,140306.31746031746
AFJK,3988921,11.15,7244.935483870968
AFCG,18232040,5.4,225109.22222222222
AFRI,3281994,7.87,16148.47619047619
AFYA,7491784,17.66,118950.19047619047
AGMH,1832289,3.215,1790790.1904761905
AGAE,13190345,2.7499,242138.57142857142
AGRO,6644545,9.06,1053173.9682539683
AHT,5180149,5.925,24551.650793650795
AIMAU,1945489,19.26,439.5967741935484
AIMBU,1945489,18.15,1236.6290322580646
AIRG,9880022,4.14,19287.93650793651
AIRI,2889617,3.4699,17409.06349206349
AIRS,8687662,4.97,467301.3968253968
AIRTP,1877884,17.0001,4213.333333333333
AIRT,1877884,17.79,2654.8387096774195
AITR,4848902,11.0,1113.4193548387098
AISP,18222680,4.88,837501.9841269841
AKA,712534,13.04,10985.290322580646
AITRU,4848902,11.24,20.016129032258064
ALBT,1416671,3.46,45232.22222222222
ALCY,1119473,11.5,4887.193548387097
ALF,15876109,10.56,180137.7142857143
ALFUU,15876109,10.63,212.26984126984127
ALGS,2941280,6.855,157441.22222222222
ALMS,8664083,3.81,994861.3333333334
ALSA,399996,12.06,8.419354838709678
ALOT,5775462,9.47,14844.15873015873
ALSAU,399996,12.1,12.741935483870968
ALTG,15377089,5.97,215480.85714285713
ALTS,17171720,9.91,191914.47619047618
ALUR,2942833,2.6963,1610523.9841269841
ALZN,715917,3.6699,1468818.238095238
AMCX,5479780,6.745,567875.5873015873
AMS,3419790,2.4149,12838.507936507936
AMPG,17559563,2.37,309558.5873015873
AMST,2691407,2.9207,1099004.761904762
AMWL,12199007,6.89,50355.206349206346
ANIK,10344468,11.37,74557.76190476191
ANRO,17903611,2.49,252695.77777777778
ANSC,6455381,10.76,134583.01612903227
AOGOU,2254453,10.42,0.0
ANVS,15698108,3.335,431336.77777777775
AOMR,13183128,9.135,134729.26984126985
AOGO,2254453,10.52,80.90322580645162
AOUT,11395856,11.69,51633.619047619046
AP,10840242,3.58,54503.49206349206
APLM,773105,6.5,25905.8064516129
APDN,428161,5.42,121881.07936507936
APT,8333227,4.6,28571.301587301587
APVO,405457,5.0,271429.2380952381
APXI,3992789,11.4,2783.6451612903224
ARBB,1002687,5.74,129266.73015873016
AREN,11923055,5.6179,223530.88888888888
ARKR,1622013,10.25,9980.790322580646
ARL,1308639,14.98,6204.6349206349205
ARTV,5916827,2.1038,320280.7619047619
ARQQW,6513792,2.02,1215.6507936507937
ASCB,687961,11.19,309.14516129032256
ASMB,4638210,16.192,23653.428571428572
ASPS,8438046,6.1782,17514.809523809523
ASST,14104627,5.915,13917249.936507937
ASRV,13699098,2.902,25302.095238095237
ASTC,1158844,5.8426,2688.968253968254
ASYS,9477132,4.05,69060.90476190476
ATEK,310137,10.0,9.67741935483871
ATLO,8726101,17.8,12664.952380952382
ATLX,9850775,4.74,181176.07936507938
ATMV,1235520,11.71,5880.645161290323
ATRA,3471735,9.035,59838.42857142857
ATNI,9904234,15.5784,65079.444444444445
AUID,11723748,5.1735,215659.9841269841
AUDC,19751279,9.68,81909.55555555556
AUUD,613580,4.98,99382.95238095238
AVTX,3682149,4.2,85181.36507936507
AWX,1967107,2.45,11304.952380952382
AXIL,3371209,6.05,12196.873015873016
BAFN,3615252,15.17,8357.84126984127
BALY,7087798,9.69,67913.39682539682
BAOS,937633,4.19,1428609.5873015872
BAYA,2064237,11.0101,17193.548387096773
BBGI,609328,4.775,3956.3968253968255
BBLGW,3223906,13.5,6.451612903225806
BCAL,17341570,14.86,107490.11111111111
BCBP,15312153,7.92,64765.60317460317
BCDA,3886990,2.15,80728.80952380953
BCOW,4685249,10.05,12123.222222222223
BCG,3144506,2.12,33796.1746031746
BCTX,3103243,3.43,1420091.0634920634
BEEP,14463912,3.88,28063.920634920636
BETR,7551460,11.08,54616.50793650794
BFIN,8484725,11.75,18355.4126984127
BGLC,1240011,3.145,656923.4920634921
BGM,2832616,12.89,26070.634920634922
BHAC,752533,19.0,22.580645161290324
BGSF,10355968,4.45,22040.714285714286
BHACU,752533,10.16,0.0
BHM,2619658,12.765,4413.920634920635
BIRD,5458291,8.43,51365.42857142857
BKHA,6464512,10.61,5111.290322580645
BKKT,6432356,14.39,448799.09523809527
BJDX,1125089,2.2699,1805959.619047619
BLBX,2052792,4.76,103987.41269841269
BLFY,16609115,8.8,53203.04761904762
BMR,8856886,3.1238,86339.66666666667
BNED,19203645,11.81,347512.6666666667
BMRA,2394050,3.3,34441.857142857145
BNGO,3162261,3.735,137515.73015873015
BNTC,12236132,16.07,48991.34920634921
BNIX,453999,11.35,460.3015873015873
BOF,7638102,2.085,139483.82539682538
BODI,3082855,3.72,22143.603174603173
BOOM,17137210,7.19,197776.47619047618
BOSC,5238119,4.55,160233.95238095237
BOTJ,3828671,14.2,4053.1290322580644
BOWN,199718,11.59,138117.2380952381
BRAC,757513,11.7,0.0
BRACU,757513,12.0,0.0
BRAG,18627767,4.265,40202.857142857145
BRFH,7233910,2.78,9606.650793650793
BRLS,5172056,6.38,31683.93650793651
BRID,1657883,7.675,3047.6507936507937
BROG,10122630,2.0817,471159.1904761905
BRT,12298828,15.835,37233.0
BSBK,8206154,7.1975,3074.4920634920636
BSET,8035813,16.68,25171.825396825396
BTCS,13697237,2.62,891225.0476190476
BTCT,6001930,3.25,239140.9365079365
BTMD,15380802,3.82,214717.47619047618
BTM,17588525,4.565,935846.3968253968
BVFL,7944893,15.04,20663.365079365078
BWMX,17126244,8.095,41153.23809523809
BYFC,5170569,6.15,6118.758064516129
BYNO,1007795,12.17,3765.0793650793653
BYNOU,1007795,11.89,3.225806451612903
CAAS,10622501,4.24,41364.80952380953
CATO,13500874,2.65,57741.269841269845
CCEL,4425790,5.1,12514.460317460318
CBAN,16180187,15.49,68163.01587301587
CCIX,19187686,10.6599,144813.26984126985
CCIXU,19187686,11.05,1931.6129032258063
CDIO,1605838,4.72,54084.1746031746
CCTSU,1732358,11.65,0.0
CDT,659587,2.655,326516.6031746032
CDRO,13851441,7.3,31224.68253968254
CELU,11684589,2.05,80852.80952380953
CEAD,621257,8.0539,10788.693548387097
CELZ,2167260,2.38,82466.06349206349
CFSB,2436290,13.61,10728.968253968254
CHCI,3512692,9.78,35001.46031746032
CHEB,7344521,9.6975,84403.63492063493
CING,4235481,4.321,140781.0634920635
CISS,365180,3.62,31750.174603174604
CITE,2249437,11.85,364.38709677419354
CITEU,2249437,11.7,0.0
CKX,1346175,11.18,5745.984126984127
CLGN,7651729,2.05,75602.68253968254
CLNN,6140157,4.3899,88297.28571428571
CLOE,4964643,12.47,0.0
CLOEU,4964643,10.81,0.0
CLPR,12871058,3.89,144365.19047619047
CLRC,1490084,12.0,3902.1774193548385
CLRCU,1490084,12.0,17.725806451612904
CLST,3116225,11.84,5186.841269841269
CMBT,15465487,9.5187,116074.98412698413
CMCL,14618114,18.7065,129192.19047619047
